order_id,order_date,customer_id,customer_segment,product_id,product_name,product_category,sales_channel,region,sales_amount,quantity,discount_pct,cost_amount,profit
O1001,2023-01-05,C001,Enterprise,P101,CRM Software,Software,Online,North,125000,5,10,80000,45000
O1002,2023-01-07,C002,SMB,P102,Accounting Tool,Software,Partner,West,45000,3,5,28000,17000
O1003,2023-02-10,C003,Consumer,P201,Laptop,Hardware,Online,South,78000,2,12,60000,18000
O1004,2023-02-15,C001,Enterprise,P301,Cloud Storage,Services,Direct,North,150000,10,8,90000,60000
O1005,2023-03-03,C004,SMB,P202,Monitor,Hardware,Online,East,32000,4,0,22000,10000
O1006,2023-03-22,C005,Enterprise,P401,IT Support,Services,Partner,West,98000,6,15,70000,28000
O1007,2023-04-11,C003,Consumer,P101,CRM Software,Software,Online,South,25000,1,5,18000,7000
O1008,2023-05-01,C006,SMB,P301,Cloud Storage,Services,Direct,North,67000,4,10,45000,22000
O1009,2023-06-19,C002,SMB,P201,Laptop,Hardware,Online,West,156000,4,20,120000,36000
O1010,2023-07-07,C007,Enterprise,P102,Accounting Tool,Software,Partner,East,88000,6,12,62000,26000
